PLVCAOC00015;1T: -3.43%;1M: -5.12%;3M: +102.67%;6M: +155.03%;1R: +637.86%;3L: -53.86%; 76,98; 1,00; 76,44; 33,18 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98; 1,00; 76,44; 33,18 mln zł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%; -2,90; 0,48; -21,41; 30,63 mln zł
PLNFI0800016;+1.33%;+0.00%;-5.00%;-7.32%;-6.17%;-72.46%; -4,86; 0,54; -; 32,52 mln zł
PLVCAOC00015; -3.43%; -5.12%; +102.67%; +155.03%; +637.86%; -53.86%; 76,98; 1,00; 76,44; 33,18 mln zł
PL11BTS00015;+1.98%;-14.17%;-7.71%;+20.47%;+17.18%;-20.40%; 22,54; 2,89; 16,32; 22,95 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98; 1,00; 76,44; 33,18 mln zł
PL2CPRT00022;+0.00%;+0.00%;+0.00%;+0.00%;-;-; 22,54; 2,89; 16,32; 22,95 mln zł
PL2CPRT00014;+0.00%;+0.00%;+0.00%;+0.00%;+0.00%;-; 22,54; 2,89; 16,32; 22,95 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98; 1,00; 76,44; 33.18 mln zł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%; -2,90; 0,48; -21,41; 30.63 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98; 1,00; 76,44; 33.18 mln zł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%; -2,90; 0,48; -21,41; 30.63 mln zł
PLNFI0800016;+1.33%;+0.00%;-5.00%;-7.32%;-6.17%;-72.46%; -4,86; 0,54; -; 32.52 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98; 1,00;76,44; 33.18 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%; 76,98;1,00;76,44; 33.18 mln zł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%; -2,90;0,48;-21,41; 30.63 mln zł
PLNFI0800016;+1.33%;+0.00%;-5.00%;-7.32%;-6.17%;-72.46%; -4,86;0,54;-; 32.52 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%;76,98;1,00;76,44; 33.18 mln zł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%;-2,90;0,48;-21,41; 30.63 mln zł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%;76,98;1,00;76,44;33.18mlnzł
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%;-2,90;0,48;-21,41;30.63mlnzł
PLNFI0800016;+1.33%;+0.00%;-5.00%;-7.32%;-6.17%;-72.46%;-4,86;0,54;-;32.52mlnzł
PLVCAOC00015;-3.43%;-5.12%;+102.67%;+155.03%;+637.86%;-53.86%;76,98;1,00;76,44;33.18
PLNFI0600010;+0.46%;+3.79%;+9.50%;+4.29%;+20.99%;-51.44%;-2,90;0,48;-21,41;30.63
PLNFI0800016;+1.33%;+0.00%;-5.00%;-7.32%;-6.17%;-72.46%;-4,86;0,54;-;32.52
PLVCAOC00015;-3.43;-5.12;+102.67;+155.03;+637.86;-53.86;76,98;1,00;76,44;33.18
PLNFI0600010;+0.46;+3.79;+9.50;+4.29;+20.99;-51.44;-2,90;0,48;-21,41;30.63
PLVCAOC00015;-3.43;-5.12;+102.67;+155.03;+637.86;-53.86;76,98;1,00;76,44;33.18
PLNFI0600010;+0.46;+3.79;+9.50;+4.29;+20.99;-51.44;-2,90;0,48;-21,41;30.63
PLNFI0800016;+1.33;+0.00;-5.00;-7.32;-6.17;-72.46;-4,86;0,54;-;32.52
PL11BTS00015;+1.98;-14.17;-7.71;+20.47;+17.18;-20.40;22,54;2,89;16,32;22.95
PL2CPRT00022;+0.00;+0.00;+0.00;+0.00;-;-;22,54;2,89;16,32;22.95
