01CYBATON,PLVCAOC00015
06MAGNA,PLNFI0600010
08OCTAVA,PLNFI0800016
11BIT,PL11BTS00015
2CP0415,PL2CPRT00022
2CP0914,PL2CPRT00014
2CPARTNER,PL2CPRT00030
2INTELLECT,PL2INTC00018
4FUNMEDIA,PL4FNMD00013
5THAVENUE,PL5AVNH00013
8FORMULA,PLFORM800015
ABAK,PLABAK000013
ABCDATA,PLABCDT00014
ABMSOLID,PLABMSD00015
ABPL,PLAB00000019
ABPOL,PLABPLC00015
ABSINVEST,PLABSIN00012
ACARTUS,PLACRTS00018
ACAUTOGAZ,PLACSA000014
ACE,LU0299378421
ACREBIT,PLACREO00019
ACTION,PLACTIN00018
ADB0115,PLADMBT00062
ADB0415,PLADMBT00096
ADFORM,PLADFRM00026
ADM0115,PLADMBT00054
ADM0415,PLADMBT00047
ADM0714,PLADMBT00088
ADMASSIVE,PLADMSV00013
ADMIRAL,PLADMBT00013
ADUMA,PLADUMA00013
ADVADIS,PLMBRST00015
ADVERTIGO,PLADMSC00013
AEDES,PLAEDES00016
AERFINANC,GB00B42V2T10
AFHOL,PLMNTHL00016
AGORA,PLAGORA00067
AGROLIGA,CY0101452114
AGROMA,PLAGROM00013
AGROMEP,PLAGRMP00010
AGROTON,CY0101062111
AGROTOUR,PLAGRTR00011
AGROWILL,LT0000127466
AGTES,PLAGTES00017
AHGROUP,PLDAABH00013
AIRMARKET,PLAIRMK00017
AITON,PLATCDL00013
AKCEPTFIN,PLAKCFN00013
ALCHEMIA,PLGRBRN00012
ALDA,PLALDA000010
ALEJA,PLALSMC00016
ALFASTAR,PLDBNSZ00010
ALIOR,PLALIOR00045
ALKAL,PLALKAL00019
ALMA,PLKRCHM00015
ALTA,PLTRNSU00013
ALTERCO,PLSRBEX00014
ALUMAST,PLALMST00010
AMBRA,PLAMBRA00013
AMICA,PLAMICA00010
AMPLI,PLAMPLI00019
AMREST,NL0000474351
ANALIZY,PLONLIN00013
AOW0416,PLAOWFK00035
APATOR,PLAPATR00018
APIS,PLHMSG000019
APLISENS,PLAPLS000016
APS,PLPOMST00012
